pressure,temperature,X,cpx,cpx_Al2O3,cpx_CaO,cpx_Cr2O3,cpx_FeO,cpx_K2O,cpx_MgO,cpx_Na2O,cpx_O,cpx_SiO2,cpx_TiO2,cpx_xAlM1,cpx_xAlT,cpx_xCaM2,cpx_xCrM1,cpx_xFe3M1,cpx_xFeM1,cpx_xFeM2,cpx_xKM2,cpx_xMgM1,cpx_xMgM2,cpx_xNaM2,cpx_xSiT,cpx_xTiM1,liq,liq_Al2O3,liq_AlM,liq_CaM,liq_CaO,liq_Cr2O3,liq_FeO,liq_K2O,liq_MgO,liq_Na2O,liq_O,liq_SiO2,liq_TiO2,liq_feM,liq_mgM,liq_pct,liq_pek,liq_phm,liq_pjd,liq_pkj,liq_pol,liq_pq,liq_psl,liq_pti,liq_pwo,liq_sumM,ol,ol_Al2O3,ol_CaO,ol_Cr2O3,ol_FeO,ol_K2O,ol_MgO,ol_Na2O,ol_O,ol_SiO2,ol_TiO2,ol_xCaM2,ol_xFeM1,ol_xFeM2,ol_xMgM1,ol_xMgM2,pig,pig_Al2O3,pig_CaO,pig_Cr2O3,pig_FeO,pig_K2O,pig_MgO,pig_Na2O,pig_O,pig_SiO2,pig_TiO2,pig_xAlM1,pig_xAlT,pig_xCaM2,pig_xCrM1,pig_xFe3M1,pig_xFeM1,pig_xFeM2,pig_xKM2,pig_xMgM1,pig_xMgM2,pig_xNaM2,pig_xSiT,pig_xTiM1,pl,pl_Al2O3,pl_CaO,pl_Cr2O3,pl_FeO,pl_K2O,pl_MgO,pl_Na2O,pl_O,pl_SiO2,pl_TiO2,pl_x(Ca),pl_x(K),pl_x(Na),opx,opx_Al2O3,opx_CaO,opx_Cr2O3,opx_FeO,opx_K2O,opx_MgO,opx_Na2O,opx_O,opx_SiO2,opx_TiO2,opx_xAlM1,opx_xAlT,opx_xCaM2,opx_xCrM1,opx_xFe3M1,opx_xFeM1,opx_xFeM2,opx_xMgM1,opx_xMgM2,opx_xNaM2,opx_xSiT,opx_xTiM1,spn,spn_Al2O3,spn_CaO,spn_Cr2O3,spn_FeO,spn_K2O,spn_MgO,spn_Na2O,spn_O,spn_SiO2,spn_TiO2,spn_xAlM,spn_xAlT,spn_xCrM,spn_xFe3M,spn_xFe3T,spn_xFeM,spn_xFeT,spn_xMgM,spn_xMgT,spn_xTiM,g,g_Al2O3,g_CaO,g_Cr2O3,g_FeO,g_K2O,g_MgO,g_Na2O,g_O,g_SiO2,g_TiO2,g_xAlM2,g_xCaM1,g_xCrM2,g_xFe3M2,g_xFeM1,g_xMgM1,g_xMgM2,g_xTiM2
5,1320,0.916585084,,,,,,,,,,,,,,,,,,,,,,,,,0.89343,10.16215513,0.24394,0.39841,13.94521807,0.045428381,6.66641902,0.034079806,19.4441311,1.589618473,0.374707467,46.97751312,0.760729431,0.16905,0.55552,0.036078,0.0026654,0.021989,0.093288,0.001999,0.18604,0.048035,0.21447,0.022322,0.37312,1.3669,0.10657,0,0.224033333,0,4.994766667,0,61.44786667,0,0,33.33333333,0,0.0067206,0.074929,0.074915,0.92507,0.91836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1330,0.922162086,,,,,,,,,,,,,,,,,,,,,,,,,0.90051,10.06664015,0.24284,0.39667,13.81647753,0.045006472,6.664694308,0.033729379,19.82479065,1.574683061,0.371159037,46.84922424,0.753595168,0.17003,0.56917,0.033911,0.0026491,0.021855,0.092717,0.0019868,0.1895,0.047246,0.2151,0.022186,0.37285,1.3787,0.09949,0,0.222,0,4.888933333,0,61.55573333,0,0,33.33333333,0,0.00666,0.073342,0.073326,0.92666,0.92001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1340,0.92794207,,,,,,,,,,,,,,,,,,,,,,,,,0.90786,9.969252578,0.2417,0.39488,13.68524307,0.044543822,6.660249107,0.033407866,20.21544858,1.559439939,0.367588074,46.71851486,0.746312103,0.17096,0.5833,0.031867,0.0026327,0.02172,0.092144,0.0019745,0.19307,0.046486,0.21561,0.022049,0.37245,1.3908,0.09214,0,0.2199,0,4.784033333,0,61.66273333,0,0,33.33333333,0,0.0065967,0.071769,0.071752,0.92823,0.92165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1350,0.933943842,,,,,,,,,,,,,,,,,,,,,,,,,0.9155,9.87004482,0.24052,0.39303,13.55149563,0.044108616,6.653015927,0.033081462,20.6162257,1.543902743,0.363929808,46.58530853,0.73888677,0.17185,0.59793,0.029938,0.0026162,0.021584,0.091567,0.0019621,0.19677,0.045753,0.21599,0.021911,0.37192,1.4033,0.0845,0,0.2177,0,4.6801,0,61.76886667,0,0,33.33333333,0,0.0065308,0.070211,0.070192,0.92979,0.92328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1360,0.940173964,,,,,,,,,,,,,,,,,,,,,,,,,0.92344,9.768993726,0.23931,0.39113,13.415206,0.043667213,6.642992319,0.03275041,21.02717377,1.528117318,0.360187326,46.44958687,0.731325045,0.17268,0.61306,0.028117,0.0025996,0.021447,0.090986,0.0019497,0.20058,0.045046,0.21624,0.021772,0.37126,1.4162,0.07656,0,0.215400072,0,4.577134859,0,61.87412062,0,0,33.33334444,0,0.0064623,0.068667,0.068647,0.93133,0.92489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1370,0.946648249,,,,,,,,,,,,,,,,,,,,,,,,,0.9317,9.666085606,0.23807,0.38917,13.27632446,0.043186516,6.630117025,0.032414976,21.4484443,1.511996385,0.356397475,46.31143332,0.723599942,0.17346,0.62872,0.026398,0.0025828,0.021308,0.090399,0.0019371,0.20452,0.044362,0.21639,0.021631,0.37048,1.4294,0.0683,0,0.213033333,0,4.475166667,0,61.97846667,0,0,33.33333333,0,0.0063913,0.067138,0.067117,0.93286,0.92649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1380,0.953374097,,,,,,,,,,,,,,,,,,,,,,,,,0.94029,9.561263324,0.23679,0.38716,13.13488783,0.042733876,6.614357916,0.03204208,21.88007735,1.495619028,0.352529492,46.17073832,0.715750781,0.17418,0.64492,0.024776,0.0025659,0.021169,0.089806,0.0019244,0.20858,0.043699,0.21642,0.021489,0.36957,1.443,0.05971,0,0.21059993,0,4.374198542,0,62.08187931,0,0,33.33332222,0,0.0063178,0.065624,0.065602,0.93438,0.92808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1390,0.960367672,,,,,,,,,,,,,,,,,,,,,,,,,0.94923,9.454593804,0.23548,0.38508,12.99085281,0.042242794,6.595678436,0.031698674,22.32213347,1.478928837,0.348619102,46.02746975,0.707782323,0.17484,0.66168,0.023245,0.0025487,0.021027,0.089206,0.0019116,0.21278,0.043057,0.21634,0.021346,0.36855,1.4571,0.05077,0,0.208066667,0,4.2742,0,62.1844,0,0,33.33333333,0,0.0062419,0.064124,0.064101,0.93588,0.92966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1400,0.967645274,,,,,,,,,,,,,,,,,,,,,,,,,0.95854,9.34599672,0.23412,0.38294,12.84416991,0.041780069,6.574090483,0.031318551,22.77479058,1.461939381,0.344603061,45.8816766,0.699634639,0.17545,0.67901,0.0218,0.0025314,0.020884,0.088598,0.0018985,0.21711,0.042432,0.21615,0.0212,0.3674,1.4715,0.04146,0,0.205466667,0,4.1752,0,62.286,0,0,33.33333333,0,0.0061637,0.06264,0.062616,0.93736,0.93122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1410,0.975222235,,,,,,,,,,,,,,,,,,,,,,,,,0.96824,9.235470391,0.23273,0.38073,12.69482689,0.041279771,6.549526695,0.030968039,23.23808116,1.444660641,0.340517064,45.73329064,0.691378702,0.176,0.69693,0.020435,0.0025138,0.020739,0.087982,0.0018853,0.22158,0.041824,0.21586,0.021053,0.36613,1.4864,0.03176,0,0.202766734,0,4.077201359,0,62.38668746,0,0,33.33334444,0,0.0060832,0.061171,0.061146,0.93883,0.93277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
